Contestant,Age,Hometown,Original season,Original placement,Outcome
Season 1,Season 1,Season 1,Season 1,Season 1,Season 1
Chad Michaels,41,"San Diego, California",Season 4,Runner-up,Winner
Raven,33,"Riverside, California",Season 2,Runner-up,Runner-up
Jujubee,28,"Boston, Massachusetts",Season 2,3rd,3rd/4th
Shannel,32,"Las Vegas, Nevada",Season 1,4th,3rd/4th
Alexis Mateo,32,"St. Petersburg, Florida",Season 3,3rd,5th/6th
Yara Sofia,28,"Manati, Puerto Rico",Season 3,4th,5th/6th
Latrice Royale,40,"South Beach, Florida",Season 4,4th,7th/8th
Manila Luzon,30,"New York, New York",Season 3,Runner-up,7th/8th
Nina Flowers,37,"Bayamón, Puerto Rico",Season 1,Runner-up,9th/10th
Tammie Brown,32,"Long Beach, California",Season 1,8th,9th/10th
Mimi Imfurst,29,"New York, New York",Season 3,11th,11th/12th
Pandora Boxx,40,"Rochester, New York",Season 2,5th,11th/12th
Season 2,Season 2,Season 2,Season 2,Season 2,Season 2
Alaska,30,"Los Angeles, California",Season 5,Runner-up,Winner
Detox,30,"Los Angeles, California",Season 5,4th,Runner-up
Katya,33,"Boston, Massachusetts",Season 7,5th,Runner-up
Roxxxy Andrews,31,"Orlando, Florida",Season 5,Runner-up,4th
Alyssa Edwards,35,"Dallas, Texas",Season 5,6th,5th[a]
Tatianna,27,"Washington, D.C.",Season 2,4th,6th[b]
Phi Phi O'Hara,29,"New York, New York",Season 4,Runner-up,7th
Ginger Minj,31,"Orlando, Florida",Season 7,Runner-up,8th
Adore Delano,25,"Azusa, California",Season 6,Runner-up,9th[c]
Coco Montrese,41,"Las Vegas, Nevada",Season 5,5th,10th
Season 3,Season 3,Season 3,Season 3,Season 3,Season 3
Trixie Mattel,28,"Los Angeles, California",Season 7,6th,Winner
Kennedy Davenport,35,"Dallas, Texas",Season 7,4th,Runner-up
Shangela,35,"Los Angeles, California",Season 2,12th,4th
Shangela,35,"Los Angeles, California",Season 3,6th,4th
BeBe Zahara Benet,36,"Minneapolis, Minnesota",Season 1,Winner,3rd
Morgan McMichaels,36,"Los Angeles, California",Season 2,8th,5th[d]
BenDeLaCreme,35,"Seattle, Washington",Season 6,5th,6th[e]
Aja,23,"Brooklyn, New York",Season 9,9th,7th
Chi Chi DeVayne,32,"Shreveport, Louisiana",Season 8,4th,8th
Milk,29,"New York, New York",Season 6,9th,9th
Thorgy Thor,33,"Brooklyn, New York",Season 8,6th,10th
